iteration,mean_reward,mean_episode_length
0,-11.04,22.91
1,-10.93,28.87
2,-11.33,29.28
3,-10.15,27.24
4,-9.88,26.10
5,-8.62,23.54
6,-7.30,21.29
7,-7.50,22.68
8,-6.46,18.26
9,-6.28,16.58
10,-5.55,14.81
11,-5.15,14.78
12,-4.87,13.03
13,-4.54,12.34
14,-4.73,11.85
15,-2.29,12.63
16,-3.27,11.36
17,-2.26,13.05
18,-2.20,12.73
19,-1.27,13.66
20,-1.66,12.80
21,-0.71,15.71
22,-1.52,14.93
23,0.32,17.53
24,1.23,19.36
25,3.27,22.39
26,1.89,19.89
27,2.40,21.55
28,3.45,22.93
29,11.97,35.23
30,7.50,29.25
31,7.56,31.37
32,9.34,34.19
33,8.02,32.36
34,8.04,32.69
35,22.25,53.72
36,7.15,30.97
37,7.26,29.28
38,11.23,36.77
39,13.15,38.78
40,10.37,34.46
41,14.52,42.78
42,13.45,41.57
43,22.64,55.48
44,20.10,52.61
45,9.70,35.29
46,13.68,40.58
47,15.92,47.17
48,13.83,43.26
49,21.65,54.25
50,21.57,54.47
51,20.65,53.78
52,22.28,56.14
53,26.27,64.32
54,21.85,55.56
55,22.83,59.32
56,21.96,54.41
57,23.52,57.98
58,18.72,50.46
59,41.11,83.24
60,25.01,59.63
61,28.52,64.07
62,27.51,64.21
63,24.42,62.09
64,26.52,64.96
65,40.12,85.31
66,37.16,80.50
67,26.53,69.20
68,37.63,83.66
69,33.93,79.82
70,33.04,77.83
71,47.54,103.67
72,50.51,105.56
73,44.72,100.72
74,41.63,90.41
75,48.10,104.61
76,59.50,122.58
77,57.58,121.95
78,53.24,114.74
79,57.54,120.22
80,50.98,112.00
81,69.08,141.79
82,54.66,119.52
83,62.29,132.20
84,73.65,148.66
85,83.62,160.75
86,100.98,196.24
87,73.85,151.46
88,110.23,213.93
89,109.34,209.48
90,119.88,226.71
91,118.25,223.60
92,117.06,236.62
93,147.00,281.27
94,126.32,251.56
95,142.04,280.27
96,137.78,281.04
97,163.33,316.16
98,147.62,293.86
99,171.50,333.75
100,190.24,354.50
101,207.72,394.94
102,207.81,387.63
103,223.74,424.49
104,235.86,429.75
105,232.45,437.16
106,269.74,494.00
107,299.21,549.90
108,267.57,495.35
109,290.28,539.70
110,332.99,599.06
111,333.20,585.95
112,356.31,636.69
113,354.26,640.50
114,362.09,649.79
115,341.61,613.39
116,431.13,749.97
117,461.80,801.25
118,445.68,776.94
119,441.92,787.96
120,472.92,827.27
121,459.21,800.17
122,497.13,870.74
123,485.57,838.10
124,500.56,854.63
125,489.91,851.63
126,516.56,870.72
127,507.28,871.25
128,519.00,888.84
129,508.22,878.30
130,514.59,890.31
131,517.98,900.09
132,519.57,879.54
133,553.33,929.02
134,530.29,893.32
135,531.32,905.71
136,517.50,883.30
137,550.23,940.12
138,531.96,898.12
139,511.09,874.83
140,537.89,905.97
141,493.03,855.11
142,534.89,894.21
143,555.40,924.15
144,551.33,920.86
145,550.93,923.70
146,554.07,923.14
147,548.58,927.32
148,561.79,934.49
149,549.89,913.84
150,549.25,899.08
151,561.43,926.52
152,562.43,922.43
153,577.69,940.22
154,576.13,935.60
155,561.70,926.41
156,562.90,908.97
157,565.24,926.44
158,578.25,925.25
159,599.25,962.87
160,594.88,960.19
161,602.56,973.65
162,594.39,958.99
163,585.65,940.71
164,588.96,952.13
165,609.08,975.38
166,596.08,953.59
167,586.31,943.92
168,604.53,952.99
169,601.28,960.84
170,604.52,956.92
171,588.84,929.44
172,601.07,944.31
173,581.69,925.71
174,584.61,932.39
175,628.79,982.16
176,626.23,970.32
177,615.24,964.02
178,617.21,956.54
179,605.94,943.67
180,600.30,936.25
181,624.70,952.97
182,626.61,970.58
183,605.54,932.48
184,623.44,964.77
185,632.19,974.27
186,624.94,959.38
187,617.82,948.68
188,623.93,962.88
189,620.34,943.42
190,620.65,945.58
191,623.06,954.36
192,628.37,960.07
193,618.93,944.82
194,619.63,936.63
195,606.00,929.38
196,635.69,953.42
197,650.68,971.27
198,645.10,977.31
199,647.34,974.53
200,636.75,957.78
201,651.88,978.22
202,654.46,968.85
203,631.98,946.70
204,645.65,959.47
205,666.28,996.15
206,657.77,969.72
207,652.46,972.11
208,664.40,987.84
209,645.93,965.66
210,674.50,986.55
211,665.87,988.09
212,669.09,986.50
213,669.46,980.61
214,674.41,984.44
215,665.15,984.48
216,667.43,976.56
217,671.31,974.54
218,669.28,972.97
219,674.03,976.64
220,673.24,970.59
221,681.81,988.99
222,662.06,956.53
223,668.91,978.58
224,692.30,994.10
225,659.63,955.34
226,692.27,988.32
227,665.12,960.96
228,690.81,984.31
229,666.78,964.89
230,666.98,959.50
231,680.66,972.51
232,689.87,982.22
233,663.92,949.81
234,692.10,984.26
235,680.81,969.77
236,692.91,981.76
237,689.16,980.18
238,692.54,986.20
239,686.08,962.79
240,670.09,958.29
241,665.84,941.83
242,690.14,971.90
243,705.97,986.43
244,708.86,990.87
245,704.82,982.76
246,688.73,976.36
247,703.60,988.22
248,703.38,988.45
249,715.29,1000.00
250,689.20,968.43
251,702.79,984.50
252,715.38,990.29
253,709.70,991.13
254,707.41,985.08
255,721.14,989.13
256,711.76,990.66
257,703.70,984.23
258,705.39,971.80
259,711.09,980.33
260,706.38,976.87
261,714.95,981.70
262,713.78,990.00
263,698.32,971.62
264,703.22,971.31
265,694.45,957.23
266,708.38,972.76
267,713.60,982.19
268,731.02,994.06
269,715.28,980.34
270,705.38,969.66
271,728.88,990.77
272,718.73,984.96
273,709.14,965.15
274,721.20,979.42
275,704.26,951.76
276,727.61,993.56
277,714.02,968.11
278,710.59,959.33
279,705.48,964.60
280,708.17,968.36
281,725.32,978.06
